date,name,location,link
21/10/2021, Algorave Revealed: Alex McLean (UK) Antonio Roberts (UK) Abhinay Khoparzi (India) Melody Loveless (US), Corridor Of Light: Manchester, https://www.eventbrite.co.uk/e/algorave-revealed-alex-mclean-uk-antonio-roberts-uk-abhinay-khoparzi-tickets-188360440147?
13/10/2021, SuperContinent Ensemble, Montreal Connect at 4th Space CU, https://www.youtube.com/watch?v=F974Upo-FoM
28/8/2021, Intro to livecoding and Algorave with Yaxu and Digital Selves, Reverb - Shastra IIT Madras, https://youtu.be/z4Fi8z_UWwg
12/08/2021, 192.168.0.1 - Collaboration Tools in the Internet Age, Harkat Interactive Theatre, https://insider.in/19216801-collaboration-tools-masterclass-aug12-2021/event
4/08/2021, Digital Art: I Scrolled I Liked I Shared, Wild City: Culture Connects, https://www.thewildcity.com/news/18622-culture-connects-announces-nft-workshops-digital-art-conversations-performances-by-dualist-inquiry-kiss-nuka-more
24/May/2021, SuperContinent: Global collective live coding improvisation, New Interfaces for Musical Expression(NIME) Algorave, http://nime2021.org/program/#/music/274
27/Mar/2021, GitHub Satellite Day 2: Opening Performance, GitHub Satellite Livestream, https://githubsatellite.com/sessions/day-2-Opening-performance/
2/Mar/2021, Live Coding Jam/Workshop, Wild City: Culture Connects, https://docs.google.com/forms/d/e/1FAIpQLScDrM7_u0twk60lZThtCj_lD5PxxCE-Hu8DCuyZZnn-HYLtZA/viewform
12/Dec/2020, Compose Music With Code, CODAME, https://codame.com/events/compose-music-with-code
10/Dec/2020, GitHub Universe Day 1: Closing Performance, GitHub Universe Livestream, https://githubuniverse.com/Closing-Performance-TidalCycles-and-Hydra-Live-Coded-Performance/
3/Dec/2020, Estuary 5th Birthday Stream, NIL McMaster Youtube, https://www.youtube.com/watch?v=fd83R6gTgxY
17/Oct/2020, Beats for Beginners Workshop, CODAME, https://codame.com/events/make-ringtone-loops-beats-for-beginners
19/July/2020, With IGNoto supergroup: Network Music Festival 2020, VR LiveStream, https://hubs.mozilla.com/TaHjrBu/algorave-vr-nmf
18/July/2020, With SuperContinent Ensemble: Network Music Festival 2020, LiveStream, https://live.networkmusicfestival.org/
10/July/2020, MusicLab 5: Lockdown Rave, YouTube, https://www.uio.no/ritmo/english/news-and-events/events/musiclab/2020/musiclab-5---lockdown-rave/index.html
10/June/2020, SuperContinent Live: A performance and conversation, 4th Space CU Facebook Page, https://www.facebook.com/events/277918160257636/
12/May/2020, Algorave India - Second Anniversary Party, Youtube and UXR Hubs, https://algoraveindia.github.io/events/2nd-anniversary-party.html
20/Mar/2020, Solo Set: Eulerroom Equinox 2020, Youtube, http://equinox.eulerroom.com
19/Mar/2020, With SuperContinent Ensemble: Eulerroom Equinox 2020, Youtube, http://equinox.eulerroom.com
19/Mar/2020, With Algomech Ensemble: Eulerroom Equinox 2020, Youtube, http://equinox.eulerroom.com
16/Mar/2020, SoundCodes x Khoparzi At Algoritmi Distributed Algorave, Turin Italy, https://www.youtube.com/watch?v=ISW5ieUDyE8
29/Feb/2020, DISTCULT: AlgoMech Panel on Distributed Culture, Youtube, https://algomech.com/distcult/
15/Feb/2020, With SuperContinent at Algorave Tokyo, Soup Shinjuku, https://www.facebook.com/events/778282462682545/
8/Feb/2020,Reproduce Algorave Listening Aftertaste,Walkin Studios - Bengaluru, https://www.facebook.com/events/599583717542880
8/Feb/2020,Processing Community Day,National Institute of Design - Bengaluru, https://processingindia.org/bangalore.html
2/Feb/2020,Processing Community Day,CSIR-Institute of Genomics and Integrative Biology - Delhi, https://processingindia.org/delhi/
5/Jan/2020,Exploring The Edge,India Internation Centre - Delhi, https://facebook.com/events/755000888336660/
14/Dec/2019,Music Tech Hackathon,Studio CAMP - Mumbai,http://musichackdayindia.github.io/
13/Dec/2019,Algorave Cyberia,Tifa Working Studios - Pune,https://insider.in/cyberia-new-media-playground-dec13-2019/event
12/Dec/2019,Adobe Design Mix, Adobe Offices - Delhi, https://spark.adobe.com/page/4AXcMTWXybOv9/
24/Nov/2019,Nrtya Showcase,Auro Bar and Kitchen - Delhi,https://insider.in/nrtya-showcase-006-at-auro-delhi-nov24-2019/event
